entrant_id,rank,n_games,final_rating,win_rate,main_arch,main_arch_share,tier
E001,1,2049,1339.3856145575785,0.6388,Budew / Dragapult ex,1.0,T1
E002,2,2256,1267.1545663478291,0.5625,Hydrapple ex / Meganium,0.504,T1
E003,3,2382,1251.5649876250166,0.5466,Blaziken ex / Dragapult ex,1.0,T1
E004,4,2455,1218.1479947284945,0.5511,Budew / Dragapult ex,1.0,T1
E005,5,2315,1217.2002351414135,0.5421,Budew / Dragapult ex,1.0,T1
E006,6,2478,1209.839648362306,0.5496,Mega Kangaskhan ex / Slowking,1.0,T1
E007,7,2390,1203.2409949719274,0.5397,Mega Kangaskhan ex / Slowking,0.501,T1
E008,8,2409,1203.1596841986911,0.533,Dragapult ex / Dudunsparce,1.0,T1
E009,9,1810,1190.9300931093485,0.5138,Fezandipiti / Sylveon,0.672,T1
E010,10,2393,1182.4525724122802,0.5353,Budew / Dragapult ex,0.504,T1
E011,11,2308,1177.221647692866,0.5351,Dragapult ex / Munkidori,0.513,T1
E012,12,2176,1169.214810033822,0.5496,Mega Kangaskhan ex / Slowking,0.54,T1
E013,13,2281,1150.6816168552562,0.5344,Hariyama / Mega Lucario ex,0.512,T1
E014,14,2370,1149.7200812420024,0.5266,Alakazam / Dudunsparce,0.501,T2
E015,15,2127,1128.3037628073355,0.5491,Mega Kangaskhan ex / Meowth ex,1.0,T2
E016,16,1675,1127.8990917053482,0.5104,Budew / Dragapult ex,1.0,T2
E017,17,2099,1127.2112223722384,0.5179,Kyurem / Slowking,1.0,T2
E018,18,2334,1127.0370675406025,0.5291,Hydrapple ex / Meganium,1.0,T2
E019,19,2245,1126.1719775450026,0.5394,Crustle / Mega Kangaskhan ex,0.549,T2
E020,20,2350,1124.5864538193207,0.5221,Arboliva ex / Meganium,0.503,T2
E021,21,2184,1123.4277300080123,0.5353,Mega Kangaskhan ex / Slowking,0.5,T2
E022,22,2255,1119.5793337027612,0.5322,Mega Kangaskhan ex / Slowking,1.0,T2
E023,23,2308,1117.0532188928685,0.5256,Hydrapple ex / Meganium,1.0,T2
E024,24,1873,1116.9691059480351,0.5216,Hydrapple ex / Meganium,1.0,T2
E025,25,2260,1114.4057532927964,0.5248,Budew / Dragapult ex,1.0,T2
E026,26,970,1107.2517888283028,0.5299,Dipplin / Rillaboom,0.951,T2
E027,27,2101,1101.1429100776131,0.5302,Mega Kangaskhan ex / Slowking,0.531,T2
E028,28,1997,1098.4075735646427,0.5233,Hydrapple ex / Meganium,0.539,T2
E029,29,2236,1092.8157636420185,0.5322,Mega Kangaskhan ex / Slowking,1.0,T2
E030,30,1675,1091.6355622377691,0.5116,Budew / Dragapult ex,1.0,T2
E031,31,1625,1090.0620686034747,0.5095,Alakazam / Dudunsparce,1.0,T2
E032,32,2073,1088.3238680879474,0.5335,Dudunsparce / Mega Froslass ex,1.0,T2
E033,33,1383,1087.5121519234378,0.5155,Budew / Dragapult ex,1.0,T2
E034,34,1904,1086.4865375875136,0.5105,Mega Kangaskhan ex / Slowking,0.608,T2
E035,35,1432,1085.2294851173158,0.5126,Mega Kangaskhan ex / Slowking,1.0,T2
E036,36,1979,1084.388176674677,0.5407,Alakazam / Dudunsparce,0.546,T2
E037,37,706,1084.038107321507,0.4901,Alakazam / Dudunsparce,0.69,T2
E038,38,1729,1080.8853002749706,0.502,Crustle / Munkidori,0.531,T2
E039,39,1339,1079.663993011518,0.4683,Dudunsparce / Mega Froslass ex,0.603,T2
E040,40,1308,1075.3749611363064,0.5107,Mega Kangaskhan ex / Slowking,0.648,T2
E041,41,1449,1071.799691713609,0.4872,Hydrapple ex / Meganium,1.0,T2
E042,42,595,1071.0362056141782,0.4706,Dragapult ex / Dudunsparce,0.815,T2
E043,43,801,1070.1273325865477,0.5056,Mega Kangaskhan ex / Slowking,0.866,T2
E044,44,504,1068.872564234671,0.4663,Budew / Dragapult ex,0.716,T2
E045,45,309,1066.557272608073,0.4628,Alakazam / Dudunsparce,1.0,T2
E046,46,664,1065.4577704643036,0.4548,Crustle / Mega Kangaskhan ex,0.508,T2
E047,47,487,1058.6649683683283,0.4723,Alakazam / Dudunsparce,1.0,T2
E048,48,560,1058.3020498900732,0.4125,Dudunsparce / Mega Froslass ex,1.0,T2
E049,49,1493,1056.1950304547304,0.5044,Alakazam / Dudunsparce,0.547,T2
E050,50,391,1056.0525182377114,0.4399,Froslass / Marnie's Grimmsnarl ex,0.742,T2
E051,51,854,1054.3256944720529,0.4438,Dudunsparce / Mega Froslass ex,1.0,T2
E052,52,816,1053.3850255345872,0.5037,Latias ex / Lillie’s Clefairy ex,1.0,T2
E053,53,312,1044.8448444911044,0.5032,Hydrapple ex / Meganium,0.827,T2
E054,54,707,1043.772224991738,0.4767,Alakazam / Dudunsparce,1.0,T2
E055,55,1184,1042.7389870706315,0.4721,Budew / Dragapult ex,1.0,T2
E056,56,398,1041.6328249038236,0.4095,Alakazam / Dudunsparce,1.0,T2
E057,57,424,1041.0108176693147,0.4057,Budew / Dragapult ex,1.0,T2
E058,58,1347,1038.2833636531363,0.4989,Dipplin / Thwackey,1.0,T2
E059,59,644,1036.5902015899903,0.4363,Hydrapple ex / Meganium,0.78,T2
E060,60,172,1036.4364287885094,0.4477,Alakazam / Dudunsparce,0.884,T2
E061,61,940,1036.055673561944,0.4872,Budew / Dragapult ex,1.0,T2
E062,62,628,1035.474964611834,0.4793,Hydrapple ex / Meganium,1.0,T2
E063,63,901,1034.3726902016222,0.485,Hydrapple ex / Meganium,1.0,T2
E064,64,225,1034.258974687079,0.4578,Budew / Dragapult ex,0.88,T2
E065,65,432,1033.9280676572455,0.4537,Hydrapple ex / Meganium,1.0,T2
E066,66,783,1032.753002382439,0.4432,Dragapult ex / Munkidori,1.0,T3
E067,67,648,1032.7368012822546,0.4954,Crustle / Mega Kangaskhan ex,1.0,T3
E068,68,233,1031.80121553855,0.3948,Alakazam / Dudunsparce,1.0,T3
E069,69,201,1031.6351681037927,0.4229,Alakazam / Dudunsparce,1.0,T3
E070,70,1457,1031.1295475777708,0.5038,Hydrapple ex / Meganium,0.597,T3
E071,71,845,1029.5315871245082,0.4746,Budew / Dragapult ex,0.614,T3
E072,72,319,1029.1126332869208,0.4201,Cynthia's Garchomp ex / Cynthia's Roserade,0.536,T3
E073,73,573,1028.88539561839,0.4747,Budew / Dragapult ex,1.0,T3
E074,74,203,1026.659026970282,0.3892,Dudunsparce / Mega Froslass ex,0.852,T3
E075,75,375,1024.8717546041428,0.4293,Hydrapple ex / Meganium,1.0,T3
E076,76,540,1024.6908851863595,0.4352,Mega Kangaskhan ex / Slowking,1.0,T3
E077,77,136,1024.1596135530222,0.4338,Dudunsparce / Mega Froslass ex,1.0,T3
E078,78,233,1023.8092850693416,0.4077,Dudunsparce / Mega Froslass ex,1.0,T3
E079,79,267,1023.3448448446164,0.4007,Dragapult ex / Munkidori,0.708,T3
E080,80,656,1023.0219329928136,0.5091,Crustle / Mega Kangaskhan ex,0.931,T3
E081,81,502,1022.5104984332128,0.4562,Dragapult ex / Munkidori,0.753,T3
E082,82,205,1022.1693075228496,0.4732,Alakazam / Dudunsparce,1.0,T3
E083,83,284,1021.04588303539,0.4507,Alakazam / Dudunsparce,1.0,T3
E084,84,403,1019.9280417091118,0.4268,Budew / Dragapult ex,1.0,T3
E085,85,500,1018.5650658543856,0.442,Hydrapple ex / Meganium,1.0,T3
E086,86,190,1018.5632991165844,0.3895,Dragapult ex / Dudunsparce,1.0,T3
E087,87,773,1017.1224723055192,0.4502,Hydrapple ex / Meganium,1.0,T3
E088,88,114,1017.1114868238934,0.4474,Hydrapple ex / Meganium,0.904,T3
E089,89,651,1017.060556210182,0.4578,Budew / Dragapult ex,0.823,T3
E090,90,62,1016.8652796393296,0.3548,Alakazam / Dudunsparce,1.0,T3
